contrast,correlation,energy,homogeneity,label
582.7296998031497,0.7565295375271589,0.012362675879042523,0.06830886195178568,Palapi
473.33027805118104,0.6552891437209081,0.013886013449851537,0.0724204370092893,Palapi
398.7022637795276,0.5406844468481512,0.018236177237390187,0.08995358529084149,Palapi
134.75282972440948,0.8456085176527782,0.021414461567563194,0.12761927532977718,Palapi
393.6443774606299,0.5638749181464248,0.019170571348355613,0.10319576764389843,Palapi
109.3941313976378,0.8796197115788005,0.02355788119075085,0.15606358663253456,Palapi
393.70663139763775,0.5639076558832073,0.019159711512030827,0.10338054060277288,Palapi
455.4747785433072,0.5812047371549057,0.017392700685660654,0.08570454139414374,Palapi
225.4660433070866,0.8387742980066124,0.016359141387086957,0.10794145361744673,Palapi
474.3712475393702,0.6564288544493281,0.01383694164947482,0.0721372737927289,Palapi
781.1331200787403,0.6077457358262196,0.012269809032502651,0.061121509924860144,Palapi
271.5031988188976,0.8638714894012861,0.014759485616555209,0.0951882755014469,Palapi
774.7669168307087,0.6098508159195326,0.012270965532447015,0.061400010537464,Palapi
473.4013902559056,0.7147983151777961,0.014038265701696662,0.07923135392917872,Palapi
205.98585137795274,0.8768614540168778,0.01619553220366833,0.10772812381804589,Palapi
473.34092027559063,0.714819764727298,0.01406297629496992,0.0791990698818864,Palapi
668.3305241141732,0.45287894524457756,0.01474460748692954,0.07403520270240606,Palapi
545.4886195866143,0.5924109521501835,0.015996401162405458,0.08282942350178357,Palapi
186.32892470472444,0.848351354043173,0.018125393592957634,0.11534641231041348,Palapi
668.5949187992128,0.4527761088567323,0.014745569888886551,0.07421586326951313,Palapi
651.2713459645671,0.5011823591542327,0.014929645195110721,0.07842709598514694,Palapi
189.13822588582678,0.855999252073532,0.018126541836749898,0.11616459463640844,Palapi
651.3797367125985,0.5010659041065714,0.014928631288696415,0.07811299830828507,Palapi
1675.4455585629926,0.5055268851955756,0.009474623479793548,0.04553270709072107,Palapi
846.6691683070867,0.7504167536011914,0.01071769584155432,0.06317712978417342,Palapi
1675.9581692913384,0.5054501183614116,0.009507716085807902,0.045150176040801,Palapi
368.3528543307086,0.7991302785800568,0.014505916877485895,0.0939240155499562,Palapi
183.09947096456693,0.9007234150121136,0.016414218356161633,0.11712272589605598,Palapi
518.259904035433,0.6108446000162087,0.01609245384236091,0.08403798970171757,Palapi
368.4873277559056,0.7990700696186196,0.01451497934792928,0.0936784198953312,Palapi
549.5201156496063,0.2813759856138105,0.01831811519907364,0.07585281713252888,Palapi
166.11644931102367,0.7837821586854471,0.022225878980942165,0.1211049569353155,Palapi
549.4639517716537,0.2814725977508802,0.01831976777807587,0.07551770866183018,Palapi
318.86724901574803,0.45044500522624964,0.019876346483025976,0.08996807161298802,Palapi
149.06760580708666,0.7435903247865335,0.024216821013071738,0.14523343866247085,Palapi
318.6802411417323,0.45064762082073634,0.019870300793459347,0.08983052735088232,Palapi
609.0301427165355,0.5773675474960989,0.014322472648479575,0.07519034996519579,Palapi
187.95841535433073,0.8702624373988159,0.017461101772573845,0.11684983932841299,Palapi
608.9891117125984,0.5774566717452343,0.014311966317721808,0.07481424872730565,Palapi
383.58150836614175,0.37311959973813064,0.018873308194596195,0.07771150504932045,Palapi
600.6233390748032,0.4976176310861492,0.014918932328714784,0.07775572242939073,Palapi
163.75049212598424,0.8633871298485696,0.018508932443031163,0.11936779132222704,Palapi
