Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
flip_v_uru_train (76).jpg,Uru,210.46229084645677,273.11246822493626,128.68196358267727,287.30913261826515,0.39922984157746166,0.35048226896834006,0.4717399586771156,0.34419119135512405,9.21081446850395,10.832475664951318,7.052903543307083,11.14222828445657,6.7025397246625635,6.571381537101685,6.480234675240835,6.608862196641573,0.00826700737874131,0.00708360354038582,0.010340777944739471,0.006975828881287627,0.09092308496053855,0.0841641464068033,0.10168961571733601,0.08352142767749858,0.9805298774593569,0.9746424983606075,0.9880822034665414,0.9733266382593347
blur_uru_train (76).jpg,Uru,99.37075541338572,138.6762973525949,62.59362696850395,134.89652179304372,0.47793674277757664,0.42740022763702523,0.550607472086249,0.43046031972118287,6.362266240157476,7.697067394134802,4.843134842519681,7.624031248062504,6.387722456104984,6.276685453025971,6.15558036746403,6.2435330959973605,0.011127752663220173,0.009705218182833954,0.013665793811079784,0.009637538526115574,0.10548816361668342,0.09851506576576982,0.11690078618674805,0.09817096580005504,0.99078713300921,0.9870980824616554,0.9941929897009658,0.9874484290734198
uru_train (77).jpg,Uru,130.94808070866137,287.60016120032327,210.72853100393692,275.51267902535756,0.4689890478317886,0.34401742078051845,0.39981347101373643,0.3537960957496644,7.1187253937007915,11.138632277264563,9.20441683070865,10.853121706243417,6.4848020503581845,6.609751557258556,6.702143946826872,6.574090854635524,0.010241961462926826,0.006958102204381002,0.008252296350784092,0.007076265315032953,0.10120257636506506,0.08341523964109317,0.09084215073843249,0.08412054038719052,0.9878922389992533,0.9733407964666436,0.9805365704250275,0.9744589879358648
flip_h_uru_train (77).jpg,Uru,130.94808070866137,275.51267902535756,210.72853100393692,287.60016120032327,0.4689890478317886,0.3537960957496644,0.39981347101373643,0.34401742078051845,7.1187253937007915,10.853121706243417,9.20441683070865,11.138632277264563,6.4848020503581845,6.574090854635524,6.702143946826872,6.609751557258556,0.010241961462926826,0.007076265315032953,0.008252296350784092,0.006958102204381002,0.10120257636506506,0.08412054038719052,0.09084215073843249,0.08341523964109317,0.9878922389992533,0.9744589879358648,0.9805365704250275,0.9733407964666436
flip_v_uru_train (77).jpg,Uru,130.94808070866137,275.51267902535756,210.72853100393692,287.60016120032327,0.4689890478317886,0.3537960957496644,0.39981347101373643,0.34401742078051845,7.1187253937007915,10.853121706243417,9.20441683070865,11.138632277264563,6.4848020503581845,6.574090854635524,6.702143946826872,6.609751557258556,0.010241961462926826,0.007076265315032953,0.008252296350784092,0.006958102204381002,0.10120257636506506,0.08412054038719052,0.09084215073843249,0.08341523964109317,0.9878922389992533,0.9744589879358648,0.9805365704250275,0.9733407964666436
blur_uru_train (77).jpg,Uru,62.946419783464606,137.48081096162178,97.83200049212596,133.95914191828402,0.5492262482739563,0.4281957923803349,0.47969381389982735,0.4300099267000489,4.869156003937008,7.6680513361026765,6.308378444881886,7.603757207514412,6.156316922129321,6.26956614536264,6.376723493345016,6.238654607093193,0.013631692607623523,0.009756026456066815,0.01123632667187211,0.009690933821696538,0.11675483976102885,0.09877259972313585,0.10600154089385734,0.09844254071130294,0.9941597127845719,0.9872079874437262,0.9909294670290757,0.9875343136351695
uru_train (78).jpg,Uru,210.6555733267718,287.4524769049536,128.92162893700794,273.524397048794,0.3993420166639346,0.3440762264126934,0.4718081613070509,0.35073073203394906,9.208845964566938,11.139748279496564,7.054133858267717,10.838551677103345,6.702378233542353,6.608627271199225,6.480475533452297,6.571853208936435,0.008274098945658816,0.006979669052648307,0.01034736810684558,0.007085425603674069,0.09096207421589954,0.08354441365314803,0.10172201387529436,0.08417497017328886,0.9805107731950983,0.9733117658681998,0.9880592442096459,0.9746027627353343
flip_h_uru_train (78).jpg,Uru,210.6555733267718,273.524397048794,128.92162893700794,287.4524769049536,0.3993420166639346,0.35073073203394906,0.4718081613070509,0.3440762264126934,9.208845964566938,10.838551677103345,7.054133858267717,11.139748279496564,6.702378233542353,6.571853208936435,6.480475533452297,6.608627271199225,0.008274098945658816,0.007085425603674069,0.01034736810684558,0.006979669052648307,0.09096207421589954,0.08417497017328886,0.10172201387529436,0.08354441365314803,0.9805107731950983,0.9746027627353343,0.9880592442096459,0.9733117658681998
flip_v_uru_train (78).jpg,Uru,210.6555733267718,273.524397048794,128.92162893700794,287.4524769049536,0.3993420166639346,0.35073073203394906,0.4718081613070509,0.3440762264126934,9.208845964566938,10.838551677103345,7.054133858267717,11.139748279496564,6.702378233542353,6.571853208936435,6.480475533452297,6.608627271199225,0.008274098945658816,0.007085425603674069,0.01034736810684558,0.006979669052648307,0.09096207421589954,0.08417497017328886,0.10172201387529436,0.08354441365314803,0.9805107731950983,0.9746027627353343,0.9880592442096459,0.9733117658681998
blur_uru_train (78).jpg,Uru,99.39406988188975,138.67518135036295,62.65877214566925,134.92876185752394,0.4782916838097186,0.4276304911690104,0.5505850205577602,0.4308094062414437,6.355314960629918,7.694463388926793,4.8433193897637805,7.618203236406479,6.386773689736133,6.276089421717225,6.154891763150115,6.242885648164684,0.011149543905533122,0.00971971588682471,0.013672035827958359,0.00965354692814913,0.10559140071773422,0.09858861945896549,0.11692748106394134,0.09825246525227309,0.9907919507482507,0.9871080394774417,0.9941913478169757,0.9874550187185535
uru_train (79).jpg,Uru,225.03598671259857,343.62217124434267,150.28438730314946,281.66662533325047,0.37078352594679287,0.2996265867286886,0.4158464637656337,0.3323844174559889,9.474224901574813,12.090396180792366,7.5882750984252025,10.880587761175544,7.158082672198081,7.103198111524979,6.966428247494125,6.9901119846971485,0.00548643956174631,0.004389698344775826,0.006621442197962526,0.004738019954060866,0.07407050399279264,0.06625479865470746,0.08137224464129354,0.06883327650243642,0.9795189176389495,0.9686226408148065,0.9863565432919825,0.9742797573934873
